team,conf,adjem,adjo,adjd,luck
Austin Peay,OVC,-0.30,104.6,104.9,.086
Morgan St.,MEAC,-1.01,100.0,101.0,.015
Holy Cross,Pat,-1.03,101.3,102.3,-.014
George Washington,A10,-1.10,100.9,102.0,-.057
UNC Asheville,BSth,-1.21,107.2,108.4,.100
Mount St. Mary's,NEC,-1.32,99.3,100.6,.014
East Tennessee St.,ASun,-1.38,103.9,105.3,.066
Vermont,AE,-1.73,101.0,102.7,-.055
Albany,AE,-1.82,103.1,104.9,-.063
TCU,MWC,-1.87,100.7,102.5,-.018
Central Michigan,MAC,-2.06,103.1,105.2,.082
New Orleans,SB,-2.07,104.7,106.7,.048
UT Arlington,Slnd,-2.31,101.3,103.6,.045
Buffalo,MAC,-2.46,100.6,103.1,-.104
Eastern Michigan,MAC,-2.48,104.7,107.2,-.000
Rutgers,BE,-2.52,96.2,98.8,.022
Elon,SC,-2.63,98.0,100.6,.001
Lafayette,Pat,-2.64,106.5,109.2,-.036
Weber St.,BSky,-2.72,99.6,102.4,.012
High Point,BSth,-2.76,103.3,106.0,-.077
Gardner Webb,ASun,-2.97,103.6,106.6,-.037
William & Mary,CAA,-2.99,100.3,103.3,.053
Fresno St.,WAC,-3.02,98.8,101.8,-.096
Northwestern,B10,-3.20,105.3,108.5,-.059
Colgate,Pat,-3.20,98.1,101.3,.038
Arkansas Little Rock,SB,-3.28,95.0,98.3,.092
Wyoming,MWC,-3.32,100.8,104.1,-.018
Louisiana Lafayette,SB,-3.42,97.6,101.0,.035
Montana,BSky,-3.52,106.9,110.4,-.080
Lipscomb,ASun,-3.59,101.3,104.9,-.077
IPFW,Sum,-3.85,100.5,104.4,-.006
Loyola Chicago,Horz,-3.88,100.1,104.0,.037
Navy,Pat,-3.92,101.5,105.4,-.069
Central Connecticut,NEC,-3.96,104.3,108.3,-.070
Murray St.,OVC,-3.97,104.3,108.3,-.023
Wofford,SC,-4.05,106.7,110.8,.034
Bowling Green,MAC,-4.30,100.5,104.8,.050
Liberty,BSth,-4.55,103.6,108.2,-.063
Alabama St.,SWAC,-4.55,102.0,106.5,-.034
Delaware,CAA,-4.57,97.7,102.3,.056
Southeastern Louisiana,Slnd,-4.59,95.9,100.5,.002
Sacred Heart,NEC,-4.74,101.7,106.4,.043
Fairfield,MAAC,-4.97,105.2,110.1,.073
Jacksonville,ASun,-5.02,102.1,107.1,.089
Hampton,MEAC,-5.15,94.4,99.6,.012
LIU Brooklyn,NEC,-5.17,100.6,105.8,-.024
Hofstra,CAA,-5.17,97.9,103.0,-.001
Utah Valley St.,ind,-5.22,105.0,110.2,-.045
James Madison,CAA,-5.33,103.9,109.3,-.029
Evansville,MVC,-5.47,98.8,104.3,-.044
St. Bonaventure,A10,-5.58,104.7,110.2,-.058
Iona,MAAC,-5.70,95.2,100.9,-.026
Southern Utah,Sum,-5.82,102.2,108.0,.027
Toledo,MAC,-5.85,94.1,99.9,.084
Youngstown St.,Horz,-5.88,97.9,103.8,.013
Florida Atlantic,SB,-5.88,102.7,108.6,.029
Binghamton,AE,-5.89,100.0,105.9,-.018
East Carolina,CUSA,-6.08,103.8,109.9,-.036
Boston University,AE,-6.08,97.2,103.3,.010
Pepperdine,WCC,-6.39,99.9,106.3,-.008
Wagner,NEC,-6.44,97.1,103.6,.226
Tennessee St.,OVC,-6.76,104.1,110.8,-.019
Montana St.,BSky,-6.95,104.8,111.8,.015
Hawaii,WAC,-7.02,102.2,109.2,-.054
Yale,Ivy,-7.15,99.9,107.1,.019
Denver,SB,-7.16,98.4,105.5,-.042
Ball St.,MAC,-7.21,95.7,102.9,-.048
Northern Colorado,BSky,-7.22,100.0,107.3,-.011
McNeese St.,Slnd,-7.26,96.6,103.8,.004
Quinnipiac,NEC,-7.37,104.8,112.2,.025
Manhattan,MAAC,-7.41,101.8,109.3,-.061
Troy,SB,-7.42,104.5,111.9,-.030
Towson,CAA,-7.45,99.2,106.7,.039
Bucknell,Pat,-7.46,95.8,103.3,.048
Nicholls St.,Slnd,-7.52,94.9,102.4,-.045
Western Carolina,SC,-7.58,98.6,106.1,-.040
Texas Pan American,ind,-7.73,105.5,113.2,-.005
Hartford,AE,-7.73,102.4,110.1,.116
Oregon St.,P10,-7.91,95.3,103.3,-.051
