date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/12/2016,UC Santa Barbara,60,Nebraska Omaha,74,5,7.73,6.19,6.14,6.2,6.16,11.15,7,10.53,12,2.29,8.3,7.3,0,,4.06,,,,,,,7.04,,,
11/12/2016,Youngstown St.,90,Akron,82,-8.5,-9.56,-9.46,-9.25,-9.52,-9.36,-14.37,-9.5,-9.25,-11,1.72,-11.72,-8.7,0,,-4.43,,,,,,,-8.05,,,
11/13/2016,Arizona St.,96,Cal Poly SLO,74,14.5,13.52,14.3,15.34,13.82,15.12,14.33,13,11.93,12,1.16,14.1,14,0,,10.28,,,,,,,13.47,,,
11/13/2016,Bradley,49,Delaware,63,8.5,3.63,3.85,3.83,3.85,3.84,11.05,7,3.51,2,3.21,1.47,-0.8,0,,5.93,,,,,,,1.4,,,
11/13/2016,Brown,88,Niagara,79,5.5,5.99,4.67,5.49,4.37,5.18,4.91,6,5.13,6,1.04,6.21,8,0,,10.25,,,,,,,5.72,,,
11/13/2016,Cal St. Fullerton,106,Portland St.,100,5.5,5.34,6.92,7.13,6.87,7,6.07,7,8.9,3,2.13,3.24,2.7,0,,4.25,,,,,,,2.68,,,
11/13/2016,DePaul,78,Robert Morris,72,11.5,11.82,13.28,13.33,13.64,12.72,7.67,11.5,12,10,1.97,14.22,12.8,0,,8.21,,,,,,,12.14,,,
11/13/2016,Florida,76,Mercer,54,16.5,16.49,19.18,19,19.28,19.03,23.96,14.5,10.28,18,3.94,16.38,12.4,1,,8.66,,,,,,,15.2,,,
11/13/2016,Hawaii,74,Texas St.,68,3,9.12,5.6,3.75,5.81,5.27,8.98,6,9.19,11,4.15,16.09,14.5,0,,6.22,,,,,,,13.96,,,
11/13/2016,Illinois,79,Northern Kentucky,64,17.5,13.66,13.76,13.91,13.67,13.9,11.88,15.5,12.51,12,1.12,13.7,12.4,0,,18.64,,,,,,,13.93,,,
