"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"11/29/2003","UAB",83,"Richmond",75,7.0,6.72,4.54,4.54,4.54,7.93,10.80,7.95,".",".",".",".",".","."
"11/29/2003","Wisconsin",55,"Rutgers",43,10.0,16.08,12.91,12.91,12.91,18.90,19.40,19.48,".",".",".",".",".","."
"11/29/2003","New Orleans",62,"Samford",60,6.0,6.45,5.16,5.16,5.16,7.80,6.84,8.61,".",".",".",".",".","."
"11/29/2003","Cal Poly SLO",70,"San Jose St.",62,12.5,9.90,2.81,2.81,2.81,14.67,20.45,15.84,".",".",".",".",".","."
"11/29/2003","Duquesne",68,"Siena",78,2.0,-0.73,-0.27,-0.27,-0.27,-1.21,0.43,-2.78,".",".",".",".",".","."
"11/29/2003","Wisconsin-Milwaukee",77,"Southern Illinois",81,6.5,2.51,2.08,2.08,2.08,0.05,6.12,2.64,".",".",".",".",".","."
"11/29/2003","Murray St.",94,"Southern Miss",54,10.5,6.54,5.20,5.20,5.20,9.71,3.72,10.23,".",".",".",".",".","."
"11/29/2003","Creighton",83,"St. Bonaventure",63,11.0,13.57,9.89,9.89,9.89,13.71,22.20,15.85,".",".",".",".",".","."
"11/29/2003","Old Dominion",72,"St. Joseph's PA",75,-11.0,-10.62,-7.38,-7.38,-7.38,-15.86,-12.06,-13.67,".",".",".",".",".","."
"11/29/2003","Vanderbilt",94,"Tennessee-Martin",60,20.0,20.13,20.41,20.41,20.41,20.89,24.14,14.49,".",".",".",".",".","."
"11/29/2003","Loyola-Maryland",62,"Towson",66,0.0,-2.97,-4.56,-4.56,-4.56,-3.67,1.49,-1.95,".",".",".",".",".","."
"11/29/2003","TCU",62,"Tulsa",74,-1.5,-4.22,-4.17,-4.17,-4.17,-1.70,-6.81,-4.30,".",".",".",".",".","."
"11/29/2003","Yale",61,"Wake Forest",86,-11.5,-11.62,-11.36,-11.36,-11.36,-9.96,-14.58,-11.12,".",".",".",".",".","."
"11/29/2003","Clemson",84,"Wofford",77,10.5,12.09,11.12,11.12,11.12,8.30,18.44,12.47,".",".",".",".",".","."
"11/29/2003","South Florida",74,"Wright St.",59,5.0,12.04,10.53,10.53,10.53,13.84,15.68,11.15,".",".",".",".",".","."
"11/29/2003","Indiana",80,"Xavier",77,-4.5,2.08,3.68,3.68,3.68,2.02,1.13,-1.74,".",".",".",".",".","."
"11/30/2003","Rider",68,"Dartmouth",64,10.0,8.20,6.91,6.91,6.91,12.78,6.67,9.01,".",".",".",".",".","."
"11/30/2003","Minnesota",91,"Furman",84,20.5,15.97,16.69,16.69,16.69,13.61,17.12,15.02,".",".",".",".",".","."
"11/30/2003","Central Michigan",71,"Marist",67,9.5,15.07,10.41,10.41,10.41,15.24,21.36,22.59,".",".",".",".",".","."
"11/30/2003","Butler",60,"Michigan",61,3.5,5.97,9.48,9.48,9.48,2.63,0.58,4.19,".",".",".",".",".","."
"11/30/2003","Iowa St.",79,"Northern Iowa",76,12.5,13.20,12.62,12.62,12.62,10.97,17.93,12.43,".",".",".",".",".","."
"11/30/2003","Syracuse",69,"Rhode Island",65,12.5,19.14,17.71,17.71,17.71,15.53,25.73,20.43,".",".",".",".",".","."
"11/30/2003","Delaware",72,"San Francisco",74,4.0,2.89,3.46,3.46,3.46,6.53,3.94,-3.51,".",".",".",".",".","."
"11/30/2003","Rice",56,"Stanford",60,-2.0,-4.84,-9.02,-9.02,-9.02,-0.49,-2.60,1.10,".",".",".",".",".","."
"11/30/2003","Ohio",66,"Toledo",72,-1.0,2.20,4.42,4.42,4.42,-2.24,3.18,-1.01,".",".",".",".",".","."
"11/30/2003","Rider",68,"Dartmouth",64,10.0,8.20,6.91,6.91,6.91,12.78,6.67,9.01,".",".",".",".",".","."
"11/30/2003","Minnesota",91,"Furman",84,20.5,15.97,16.69,16.69,16.69,13.61,17.12,15.02,".",".",".",".",".","."
"11/30/2003","Central Michigan",71,"Marist",67,9.5,15.07,10.41,10.41,10.41,15.24,21.36,22.59,".",".",".",".",".","."
"11/30/2003","Butler",60,"Michigan",61,3.5,5.97,9.48,9.48,9.48,2.63,0.58,4.19,".",".",".",".",".","."
"11/30/2003","Iowa St.",79,"Northern Iowa",76,12.5,13.20,12.62,12.62,12.62,10.97,17.93,12.43,".",".",".",".",".","."
"11/30/2003","Syracuse",69,"Rhode Island",65,12.5,19.14,17.71,17.71,17.71,15.53,25.73,20.43,".",".",".",".",".","."
"11/30/2003","Delaware",72,"San Francisco",74,4.0,2.89,3.46,3.46,3.46,6.53,3.94,-3.51,".",".",".",".",".","."
"11/30/2003","Rice",56,"Stanford",60,-2.0,-4.84,-9.02,-9.02,-9.02,-0.49,-2.60,1.10,".",".",".",".",".","."
"11/30/2003","Ohio",66,"Toledo",72,-1.0,2.20,4.42,4.42,4.42,-2.24,3.18,-1.01,".",".",".",".",".","."
"12/01/2003","Citadel",62,"Appalachian St.",72,-1.0,-1.69,-0.07,0.15,-0.35,-0.62,-1.39,-7.86,".",".",".",".",".","."
"12/01/2003","Pepperdine",74,"Cal St. Fullerton",78,17.0,19.35,18.55,18.41,18.84,25.38,16.68,18.23,".",".",".",".",".","."
"12/01/2003","Tennessee St.",86,"Chattanooga",93,-12.5,-14.30,-9.16,-10.99,-8.38,-16.06,-18.17,-23.03,".",".",".",".",".","."
"12/01/2003","Auburn",84,"Colorado St.",54,10.5,10.11,6.95,2.76,10.72,13.17,15.51,11.55,".",".",".",".",".","."
"12/01/2003","Charleston",75,"Davidson",69,7.5,10.51,8.08,4.31,12.17,15.42,11.36,11.71,".",".",".",".",".","."
"12/01/2003","Austin Peay",62,"Evansville",54,8.0,7.53,7.27,6.91,7.84,8.96,6.83,7.38,".",".",".",".",".","."
"12/01/2003","TCU",66,"Kansas",85,-14.0,-12.55,-7.65,-11.65,-4.68,-12.45,-23.56,-15.32,".",".",".",".",".","."
"12/01/2003","Marshall",76,"Kentucky",89,-20.5,-13.79,-8.99,-9.44,-8.61,-16.11,-20.73,-18.83,".",".",".",".",".","."
