date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,linetalis,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/7/2018,Cincinnati,56,Ohio St.,64,,6.01,7.33,7.06,7.36,7.34,5.65,6,5.79,7,1.63,5.95,3.1,0,4.1,3.45,,,,0,6.43,,5.99,9.01,,4.6
11/7/2018,Dayton,78,North Florida,70,12.5,13.43,13.49,12.81,13.54,13.48,15.91,12.5,13.27,13,1.99,15.96,10.4,0,8.7,13.73,,,,0,15.23,,12.23,15.86,,13.9
11/7/2018,DePaul,80,Bethune Cookman,58,19.5,15.91,15.07,14.29,15.12,15.06,15.77,18.5,15.22,16,2.83,19.14,14.8,0,7.8,17.74,,,,0,16.9,,19.51,16.98,,19.2
11/7/2018,Eastern Kentucky,77,Marshall,105,,-9.08,-6.2,-5.58,-6.24,-6.19,-18.49,-8,-4.68,-9,4.76,-10.57,-7.7,0,-10.1,-4.94,,,,0,-9.22,,-9.25,-21.12,,-6.9
11/7/2018,St. Bonaventure,85,Bucknell,88,9.5,4.87,5.21,5.08,5.22,5.21,3.92,10,6.14,3,2.43,5.94,7.6,0,-2.2,3.59,,,,0,6.74,,5.79,3.71,,8.1
11/7/2018,St. Mary's,87,McNeese St.,65,21.5,23.03,23.38,22.05,23.47,23.37,24.98,21,22.5,23,4.41,27.42,20,0,26.3,12.62,,,,0,22.46,,19.83,33.22,,20.8
11/7/2018,St. Peter's,93,Lafayette,86,8.5,6.77,7.21,6.95,7.24,7.21,4.51,9,8.79,8,3.6,8.67,8.3,0,-5.5,7.36,,,,0,8.3,,7.94,6.62,,9.9
11/7/2018,TCU,66,CS Bakersfield,61,18.5,21.65,21.7,20.48,21.78,21.68,26.93,18.5,15.1,22,4.52,23.2,16.2,0,32.4,15.99,,,,0,22.92,,20.96,25.76,,17.7
11/7/2018,Texas A&M,98,Savannah St.,83,29.5,26.99,26.83,25.27,26.94,26.81,32.36,29,25.82,28,4.3,28.72,21.5,0,18,26.44,,,,0,22.43,,30.06,35.28,,30.4
11/7/2018,Wright St.,96,Western Carolina,73,,14.78,16.08,15.24,16.14,16.08,18.22,17,11.29,14,2.55,14.14,11.5,0,16.2,12.01,,,,0,14.41,,12.26,20.48,,13.7
11/8/2018,Connecticut,80,Morehead St.,70,,13.71,17.12,16.07,17.19,17.09,10.44,12,13.69,14,3.18,12.12,12,0,8.2,9.8,,,,0,14.14,,10.61,19.1,,14
11/8/2018,George Washington,61,Siena,69,6.5,9.06,5.45,2.81,5.28,6.93,4.99,7,8.85,11,4.66,11.71,11.8,0,16.1,4.6,,,,5,8.86,,10.35,20.13,,7
11/8/2018,Illinois,99,Evansville,60,,9.86,10.2,9.67,10.23,10.18,6.46,14,8.13,9,2.12,7.9,8.5,0,10.7,12.87,,,,0,15.28,,8.67,9.46,,10.7
11/8/2018,Iowa,77,Mo Kansas City,63,22.5,22.06,23.98,21.97,24.41,22.84,25.53,20.5,18.8,21,3.98,18.7,14.6,0,31.4,21.72,,,,0,24.42,,17.82,19.61,,24.1
11/8/2018,Louisville,85,Nicholls St.,72,19,19.72,24.02,22.45,24.13,23.97,21.65,-19.5,20.59,17,3.41,21.44,13.8,0,21.3,14.64,,,,0,16.19,,18.47,18.99,,17.2
11/8/2018,Northwestern,82,New Orleans,52,18,17.74,15.24,14.34,15.31,15.21,14.36,18,15.8,17,3.15,19.09,15.2,0,24.5,20.61,,,,0,21.31,,16.84,21.1,,20.2
11/8/2018,Notre Dame,89,Chicago St.,92,29.5,34.06,35.65,33.66,35.95,35.24,39.58,28.5,30.2,33,5.41,34.92,23.9,0,43.1,26.45,,,,8,33.36,,31.07,43.75,,31
11/8/2018,SMU,69,Northwestern St.,58,25,24.69,23.41,21.89,23.52,23.36,28.46,25,21.08,21,3.64,29.7,22.1,0,27,20.24,,,,0,27.86,,24.18,31.87,,
11/8/2018,South Dakota St.,78,Alabama St.,61,21.5,22.54,21.39,23.41,21,22.65,20.03,21,19.56,27,5.48,26.11,21.1,0,16.4,14.89,,,,9,20.47,,23.83,38.77,,21.5
11/8/2018,Utah,75,Maine,61,22.5,24.82,22.14,22.19,22.05,22.57,24.44,22.5,25.66,27,5.78,29.09,22.6,0,24.3,13.6,,,,0,23.85,,29.55,40.84,,22.4
11/8/2018,Louisville,85,Nicholls St.,72,19,19.72,24.02,22.45,24.13,23.97,21.65,-19.5,20.59,17,3.41,21.44,13.8,0,21.3,14.64,,,,0,16.19,,18.47,18.99,,17.2
11/9/2018,Abilene Christian,94,Arkansas St.,73,3.5,4.16,1.96,2.06,1.95,1.96,9.93,3.5,0.83,9,3,1.85,4.5,0,0.7,7.56,,,,,5.62,,2.77,5.18,,6.5
11/9/2018,Arizona St.,80,McNeese St.,52,22,21.14,19.17,20.56,18.79,20.58,26.13,22,18.58,20,3.16,24.09,21.1,0,18.4,15.06,,,,,26.67,,21.27,24.66,,22.1
11/9/2018,Auburn,88,Washington,66,10,8.65,6.81,2.95,7.55,5.47,11.61,8.5,12.33,8,3.2,5.07,6.8,0,14.6,10.7,,,,,6.11,,10.68,10.69,,10.4
11/9/2018,BYU,75,Utah Valley,65,10,8.28,10.01,7.35,10.12,10.29,14.83,10,9.13,2,3.63,2.96,5.8,0,11.1,10.48,,,,,9.86,,5.61,3.37,,11.3
11/9/2018,Binghamton,57,NJIT,74,2,-1.11,0.04,-7.87,0.68,-0.65,-2.08,2,-1.9,2,2.54,-4.87,-0.8,0,-1.2,-0.01,,,,,-0.02,,-0.39,2.17,,-1.8
11/9/2018,Boston,72,Vermont,78,-4.5,-3.67,-2.52,3.64,-2.92,-2.35,1.99,-4.5,-5.32,-4,4.11,-4.93,-7.9,0,-4.1,-1.78,,,,,-3.88,,-7.43,-13.41,,-0.2
11/9/2018,California,59,Yale,76,-5,-2.31,1.92,1.76,1.94,1.91,-6.89,-3,1.52,-7,5.25,2.28,2.8,1,-12.7,-9.21,,,,,-0.79,,-0.01,-9.23,,-2.9
11/9/2018,Campbell,75,Coastal Carolina,85,4.5,2.94,0.33,4.36,-0.07,0.92,5.78,4.5,-0.93,5,2.2,2.53,3.6,0,2.5,4.32,,,,,3.84,,2.55,6.77,,2.6
11/9/2018,Central Michigan,101,Chicago St.,60,16.5,20.06,19.38,18.27,19.45,19.41,22.67,16.5,16.45,24,4.78,17.45,15,0,26.3,16.29,,,,,18.58,,15.96,33.22,,18.4
11/9/2018,Clemson,71,NC Central,51,27.5,26.45,25.41,24.61,25.32,26.09,30.35,27.5,21.12,30,4.36,26.41,21.9,0,24.6,20.09,,,,,27,,33.19,35.96,,24.7
11/9/2018,Colgate,87,Monmouth,74,3,5.12,4.47,5.35,5,2.17,2.67,3,1.59,5,3.8,6.67,3,0,11.8,3.01,,,,,5.39,,1.78,15.37,,3.5
11/9/2018,Davidson,79,Dartmouth,76,18.5,19.46,19.85,19.21,19.93,19.7,21.36,19,14.48,21,4.88,23.53,18.3,0,15.9,10.5,,,,,16.33,,22.68,32.3,,16.9
